RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,Home_values Average_2020,Home_values Average_2021,Home_values Average_2022,Home_values Average_2023,Rental_rates Average_2020,Rental_rates Average_2021,Rental_rates Average_2022,Rental_rates Average_2023
58331,8335,1331,zip,MA,MA,Athol,"Worcester, MA-CT","$224,454.02","$260,987.69","$287,407.86","$292,381.73",,,,
58332,17363,1337,zip,MA,MA,Bernardston,"Springfield, MA","$263,019.37","$302,767.94","$333,241.57","$333,038.62",,,,
58333,32012,1338,zip,MA,MA,Buckland,"Springfield, MA","$242,362.16","$279,850.46","$315,198.99","$323,000.19",,,,
58334,21130,1339,zip,MA,MA,Hawley,"Springfield, MA","$218,618.24","$251,722.38","$283,142.27","$290,453.63",,,,
58335,19473,1340,zip,MA,MA,Colrain,"Springfield, MA","$202,964.93","$238,149.56","$266,879.22","$273,646.91",,,,
58336,21252,1341,zip,MA,MA,Conway,"Springfield, MA","$329,103.02","$367,441.75","$398,822.53","$402,478.29",,,,
58337,21641,1342,zip,MA,MA,Deerfield,"Springfield, MA","$314,465.85","$353,162.93","$386,317.65","$395,905.32",,,,
58339,21567,1344,zip,MA,MA,Erving,"Springfield, MA","$225,362.06","$258,576.65","$282,138.40","$285,375.82",,,,
58340,28082,1346,zip,MA,MA,Heath,"Springfield, MA","$198,691.83","$225,942.35","$258,158.92","$265,766.49",,,,
58342,24078,1349,zip,MA,MA,,"Springfield, MA","$206,327.27","$240,224.44","$263,254.05","$275,534.10",,,,
58344,16958,1351,zip,MA,MA,Montague,"Springfield, MA","$282,934.32","$315,868.54","$340,600.82","$345,402.61",,,,
58345,19503,1354,zip,MA,MA,Gill,"Springfield, MA","$246,297.04","$284,499.34","$313,659.86","$314,709.32",,,,
58346,22514,1355,zip,MA,MA,New Salem,"Springfield, MA","$265,974.83","$301,321.71","$328,085.52","$332,105.63",,,,
58347,16241,1360,zip,MA,MA,Northfield,"Springfield, MA","$248,350.57","$283,775.27","$313,290.70","$320,627.98",,,,
58348,11096,1364,zip,MA,MA,Orange,"Springfield, MA","$203,919.76","$236,577.00","$260,686.07","$265,386.21",,,,
58349,25567,1366,zip,MA,MA,Petersham,"Worcester, MA-CT","$330,038.87","$371,049.90","$410,691.70","$416,517.55",,,,
58350,25474,1367,zip,MA,MA,Rowe,"Springfield, MA","$232,319.64","$266,181.66","$291,728.24","$293,229.77",,,,
58351,18916,1368,zip,MA,MA,Royalston,"Worcester, MA-CT","$249,611.05","$293,631.69","$322,459.23","$326,771.31",,,,
58352,15220,1370,zip,MA,MA,Shelburne,"Springfield, MA","$273,983.78","$314,228.29","$349,361.39","$355,402.33",,,,
58353,14094,1373,zip,MA,MA,South Deerfield,"Springfield, MA","$327,682.38","$362,601.71","$391,914.83","$399,711.54",,,,
58354,15085,1375,zip,MA,MA,Sunderland,"Springfield, MA","$341,587.14","$376,248.93","$406,801.88","$415,000.56",,,,
58355,13413,1376,zip,MA,MA,Turners Falls,"Springfield, MA","$219,343.17","$248,056.80","$270,085.84","$279,214.66",,,,
58356,24282,1378,zip,MA,MA,Warwick,"Springfield, MA","$205,028.36","$242,339.41","$271,744.83","$279,486.57",,,,
58357,26303,1379,zip,MA,MA,Wendell,"Springfield, MA","$207,116.17","$242,783.26","$270,634.28","$275,826.34",,,,
58359,1649,1420,zip,MA,MA,Fitchburg,"Worcester, MA-CT","$267,433.51","$307,965.41","$336,205.22","$343,857.41",$nan,"$1,266.86","$1,367.62","$1,481.83"
58360,12372,1430,zip,MA,MA,Ashburnham,"Worcester, MA-CT","$303,198.13","$348,233.59","$381,011.90","$390,670.01",,,,
58361,15874,1431,zip,MA,MA,Ashby,"Boston-Cambridge-Newton, MA-NH","$344,760.14","$380,223.92","$412,147.93","$411,954.19",,,,
58362,10910,1432,zip,MA,MA,Ayer,"Boston-Cambridge-Newton, MA-NH","$417,592.29","$472,123.86","$513,567.49","$519,873.56",,,,
58363,17452,1434,zip,MA,MA,Devens,"Worcester, MA-CT","$409,050.50","$482,670.76","$590,539.28","$626,022.88",,,,
58364,15787,1436,zip,MA,MA,Baldwinville,"Worcester, MA-CT","$258,878.75","$296,348.55","$330,246.52","$338,731.01",,,,
58366,5746,1440,zip,MA,MA,Gardner,"Worcester, MA-CT","$254,779.40","$292,000.40","$320,552.75","$325,961.31",$nan,$nan,$nan,"$1,262.50"
58368,9253,1450,zip,MA,MA,Groton,"Boston-Cambridge-Newton, MA-NH","$569,101.45","$637,197.02","$703,065.67","$711,928.56",,,,
58369,12069,1451,zip,MA,MA,Harvard,"Worcester, MA-CT","$694,895.26","$774,115.40","$861,845.03","$878,712.76",,,,
58370,13751,1452,zip,MA,MA,Hubbardston,"Worcester, MA-CT","$336,022.29","$378,991.66","$410,026.75","$411,250.56",,,,
58371,1568,1453,zip,MA,MA,Leominster,"Worcester, MA-CT","$343,292.98","$382,135.99","$413,808.74","$423,378.74",$nan,"$1,320.60","$1,445.18","$1,550.72"
58372,9665,1460,zip,MA,MA,Littleton,"Boston-Cambridge-Newton, MA-NH","$573,400.73","$640,168.00","$688,903.14","$691,791.07",,,,
58373,9028,1462,zip,MA,MA,Lunenburg,"Worcester, MA-CT","$370,591.52","$421,685.07","$464,605.36","$474,544.48",,,,
58374,9014,1463,zip,MA,MA,Pepperell,"Boston-Cambridge-Newton, MA-NH","$428,342.69","$478,846.70","$513,642.99","$518,873.21",,,,
58375,11661,1464,zip,MA,MA,Shirley,"Boston-Cambridge-Newton, MA-NH","$408,987.68","$461,967.94","$498,702.25","$495,615.99",,,,
58377,13496,1468,zip,MA,MA,Templeton,"Worcester, MA-CT","$285,060.15","$326,105.42","$361,904.55","$365,870.91",,,,
58378,11270,1469,zip,MA,MA,Townsend,"Boston-Cambridge-Newton, MA-NH","$363,520.76","$403,390.04","$438,834.59","$439,656.50",,,,
58382,10527,1473,zip,MA,MA,Westminster,"Worcester, MA-CT","$367,955.48","$415,352.77","$456,821.35","$464,526.72",,,,
58383,19575,1474,zip,MA,MA,Townsend,"Boston-Cambridge-Newton, MA-NH","$373,203.94","$414,064.41","$456,123.82","$455,501.74",,,,
58384,9665,1475,zip,MA,MA,Winchendon,"Worcester, MA-CT","$258,839.50","$297,101.95","$328,033.63","$335,366.34",,,,
58386,7223,1501,zip,MA,MA,Auburn,"Worcester, MA-CT","$332,890.97","$370,046.65","$396,707.15","$408,139.20",,,,
58387,15646,1503,zip,MA,MA,Berlin,"Worcester, MA-CT","$494,276.66","$548,298.80","$592,931.83","$605,688.67",$nan,$nan,$nan,"$2,799.25"
58388,10172,1504,zip,MA,MA,Blackstone,"Worcester, MA-CT","$362,907.59","$402,187.00","$432,311.08","$442,270.32",,,,
58389,13813,1505,zip,MA,MA,Boylston,"Worcester, MA-CT","$471,776.57","$531,743.48","$576,599.74","$590,720.69",,,,
58390,15471,1506,zip,MA,MA,Brookfield,"Worcester, MA-CT","$280,683.83","$318,686.10","$355,306.48","$361,600.79",,,,
58391,8380,1507,zip,MA,MA,Charlton,"Worcester, MA-CT","$350,707.42","$395,326.26","$431,935.13","$441,855.97",,,,
58394,7673,1510,zip,MA,MA,Clinton,"Worcester, MA-CT","$331,579.10","$369,151.82","$394,278.79","$402,412.65",,,,
58395,18692,1515,zip,MA,MA,East Brookfield,"Worcester, MA-CT","$311,468.41","$347,096.91","$373,750.36","$379,348.55",,,,
58396,10277,1516,zip,MA,MA,Douglas,"Worcester, MA-CT","$389,123.82","$433,344.94","$470,868.50","$480,770.11",,,,
58398,15761,1518,zip,MA,MA,Sturbridge,"Worcester, MA-CT","$385,883.62","$427,133.43","$462,588.17","$473,171.17",,,,
58399,10769,1519,zip,MA,MA,Grafton,"Worcester, MA-CT","$503,960.74","$559,291.87","$606,318.36","$620,486.37",,,,
58400,7261,1520,zip,MA,MA,Holden,"Worcester, MA-CT","$403,021.63","$449,873.20","$482,462.15","$489,516.21",,,,
58401,17332,1521,zip,MA,MA,Holland,"Springfield, MA","$254,043.84","$285,612.07","$312,596.80","$324,135.74",,,,
58402,16139,1522,zip,MA,MA,Holden,"Worcester, MA-CT","$402,102.54","$441,977.16","$472,006.94","$479,213.67",,,,
58403,10962,1523,zip,MA,MA,Lancaster,"Worcester, MA-CT","$407,650.24","$462,565.78","$507,402.95","$516,987.42",,,,
58404,11607,1524,zip,MA,MA,Leicester,"Worcester, MA-CT","$328,978.53","$364,470.26","$393,269.03","$401,243.97",,,,
58407,8245,1527,zip,MA,MA,Millbury,"Worcester, MA-CT","$348,725.31","$392,736.74","$426,615.84","$440,801.54",,,,
58408,15923,1529,zip,MA,MA,Millville,"Worcester, MA-CT","$373,688.05","$413,264.63","$445,259.85","$452,062.02",,,,
58409,23411,1531,zip,MA,MA,New Braintree,"Worcester, MA-CT","$333,496.06","$379,038.60","$413,655.31","$415,874.53",,,,
58410,7535,1532,zip,MA,MA,Northborough,"Worcester, MA-CT","$518,122.37","$569,877.45","$613,473.60","$623,669.84",,,,
58411,12217,1534,zip,MA,MA,Northbridge,"Worcester, MA-CT","$407,720.99","$452,680.06","$494,695.64","$504,242.44",,,,
58412,13620,1535,zip,MA,MA,North Brookfield,"Worcester, MA-CT","$278,457.35","$307,876.73","$334,352.90","$339,635.80",,,,
58413,11601,1536,zip,MA,MA,Grafton,"Worcester, MA-CT","$418,678.55","$465,489.22","$500,256.93","$514,199.80",,,,
58414,17449,1537,zip,MA,MA,Oxford,"Worcester, MA-CT","$313,759.23","$350,704.73","$379,903.06","$383,889.46",,,,
58416,9360,1540,zip,MA,MA,Oxford,"Worcester, MA-CT","$308,342.91","$341,906.10","$366,788.73","$372,918.90",,,,
58417,15351,1541,zip,MA,MA,Princeton,"Worcester, MA-CT","$440,825.56","$492,764.24","$536,343.35","$542,751.81",,,,
58418,17363,1542,zip,MA,MA,Leicester,"Worcester, MA-CT","$332,497.06","$368,076.49","$397,510.20","$406,744.99",,,,
58419,10266,1543,zip,MA,MA,Rutland,"Worcester, MA-CT","$379,168.72","$424,034.96","$467,135.65","$476,380.21",,,,
58420,2171,1545,zip,MA,MA,Shrewsbury,"Worcester, MA-CT","$511,445.77","$569,120.38","$618,432.83","$628,756.27","$1,689.30","$1,861.32","$2,109.01","$2,202.30"
58422,6900,1550,zip,MA,MA,Southbridge,"Worcester, MA-CT","$256,476.34","$290,509.00","$319,466.54","$327,616.13",$nan,$nan,$nan,"$1,495.00"
58423,13959,1560,zip,MA,MA,Grafton,"Worcester, MA-CT","$487,667.28","$543,729.57","$606,681.89","$625,554.80",,,,
58425,8893,1562,zip,MA,MA,Spencer,"Worcester, MA-CT","$306,538.63","$343,652.31","$373,652.90","$380,408.88",,,,
58426,10845,1564,zip,MA,MA,Sterling,"Worcester, MA-CT","$414,915.88","$467,071.68","$511,307.54","$524,466.12",,,,
58427,11648,1566,zip,MA,MA,Sturbridge,"Worcester, MA-CT","$366,123.82","$407,177.71","$443,690.02","$452,095.33",,,,
58428,10923,1568,zip,MA,MA,Upton,"Worcester, MA-CT","$506,063.80","$571,609.17","$632,466.31","$644,116.91",,,,
58429,8043,1569,zip,MA,MA,Uxbridge,"Worcester, MA-CT","$392,363.07","$439,565.70","$478,970.80","$490,912.44",,,,
58430,6801,1570,zip,MA,MA,Webster,"Worcester, MA-CT","$301,729.42","$346,313.82","$374,271.25","$378,532.71",,,,
58431,8981,1571,zip,MA,MA,Dudley,"Worcester, MA-CT","$328,144.87","$367,233.33","$391,812.60","$398,194.67",,,,
58433,5751,1581,zip,MA,MA,Westborough,"Worcester, MA-CT","$598,410.23","$661,571.01","$711,590.23","$719,614.91",$nan,"$2,291.76","$2,532.07","$2,543.41"
58435,10932,1583,zip,MA,MA,West Boylston,"Worcester, MA-CT","$375,947.59","$414,512.95","$441,102.00","$449,171.02",,,,
58436,13899,1585,zip,MA,MA,West Brookfield,"Worcester, MA-CT","$301,776.80","$341,846.15","$367,595.29","$373,952.10",,,,
58438,9689,1588,zip,MA,MA,Northbridge,"Worcester, MA-CT","$364,998.95","$402,589.06","$435,028.94","$445,234.26",,,,
58439,10095,1590,zip,MA,MA,Sutton,"Worcester, MA-CT","$425,323.62","$482,852.72","$531,234.21","$548,967.04",,,,
58441,4492,1602,zip,MA,MA,Worcester,"Worcester, MA-CT","$319,401.07","$363,158.69","$392,323.02","$401,361.76",,,,
58442,6067,1603,zip,MA,MA,Worcester,"Worcester, MA-CT","$281,894.25","$320,955.63","$347,056.91","$352,870.36",,,,
58443,1915,1604,zip,MA,MA,Worcester,"Worcester, MA-CT","$302,235.33","$344,632.86","$373,157.09","$380,354.25",$nan,"$1,635.54","$1,817.14","$1,968.07"
58444,3931,1605,zip,MA,MA,Worcester,"Worcester, MA-CT","$310,469.75","$354,454.29","$382,201.15","$389,843.45",$nan,$nan,$nan,"$1,927.32"
58445,4806,1606,zip,MA,MA,Worcester,"Worcester, MA-CT","$315,158.30","$354,056.19","$377,671.82","$384,348.11",$nan,$nan,$nan,"$1,984.42"
58446,8819,1607,zip,MA,MA,Worcester,"Worcester, MA-CT","$286,491.06","$323,921.25","$354,091.70","$361,141.81",,,,
58448,5517,1609,zip,MA,MA,Worcester,"Worcester, MA-CT","$417,742.40","$470,935.44","$513,942.23","$527,008.75",$nan,$nan,"$1,537.59","$1,661.04"
58449,5076,1610,zip,MA,MA,Worcester,"Worcester, MA-CT","$263,400.47","$307,697.73","$337,952.67","$344,073.46",$nan,$nan,"$1,749.89","$1,739.32"
58450,19952,1611,zip,MA,MA,Leicester,"Worcester, MA-CT","$300,629.19","$331,688.06","$357,741.19","$363,965.62",,,,
58451,13154,1612,zip,MA,MA,Paxton,"Worcester, MA-CT","$389,133.72","$429,385.02","$461,009.71","$469,469.43",,,,
58458,2717,1701,zip,MA,MA,Framingham,"Boston-Cambridge-Newton, MA-NH","$532,112.08","$579,553.08","$615,970.56","$617,174.60",$nan,$nan,$nan,"$2,068.38"
58459,2321,1702,zip,MA,MA,Framingham,"Boston-Cambridge-Newton, MA-NH","$498,358.35","$547,461.54","$580,524.66","$578,491.05","$1,742.13","$1,916.84","$2,196.60","$2,184.16"
58464,13336,1719,zip,MA,MA,Boxboro,"Boston-Cambridge-Newton, MA-NH","$720,797.88","$805,406.34","$879,812.06","$874,602.07",,,,
58465,5132,1720,zip,MA,MA,Acton,"Boston-Cambridge-Newton, MA-NH","$696,342.89","$777,773.66","$853,375.47","$864,172.72",$nan,$nan,$nan,"$2,139.84"
58466,6518,1721,zip,MA,MA,Ashland,"Boston-Cambridge-Newton, MA-NH","$537,279.91","$590,740.61","$643,832.75","$651,324.54",$nan,"$2,413.13","$2,531.17","$2,499.84"
58467,7986,1730,zip,MA,MA,Bedford,"Boston-Cambridge-Newton, MA-NH","$797,547.37","$868,308.29","$932,071.77","$944,154.37",$nan,$nan,"$2,926.23","$3,105.52"
58469,12697,1740,zip,MA,MA,Bolton,"Worcester, MA-CT","$640,224.74","$720,939.85","$790,242.92","$794,724.02",,,,
